episode,score,steps,epsilon,loss,avg_q
326,83,15,0.9845,6.4009,50.0078
327,43,11,0.9845,6.3597,54.7346
328,68,12,0.9844,7.4652,51.2026
329,43,11,0.9844,6.4030,51.0421
330,43,10,0.9843,5.1912,52.7080
331,28,8,0.9843,6.2561,46.2613
332,35,11,0.9842,7.1593,50.0143
333,64,15,0.9842,7.6889,52.3536
334,55,13,0.9841,7.1881,49.8524
335,37,10,0.9841,7.2815,50.9140
336,34,8,0.9840,6.1273,48.9971
337,42,12,0.9840,5.9682,52.3852
338,100,16,0.9839,6.8852,55.5580
339,105,15,0.9839,9.0118,52.9503
340,34,8,0.9839,7.4500,51.6147
341,170,17,0.9838,7.0483,50.7391
342,37,10,0.9838,6.9872,51.9766
343,86,14,0.9837,8.8711,51.8814
344,44,9,0.9837,6.5264,53.0600
345,56,12,0.9836,6.8551,52.5206
346,47,11,0.9836,4.6369,49.9671
347,226,19,0.9835,6.7347,55.5585
348,196,19,0.9835,6.7944,59.0803
349,126,16,0.9834,8.6869,53.5552
350,168,18,0.9834,7.3440,55.8614
351,35,9,0.9833,6.5981,49.5290
352,37,9,0.9833,6.4715,56.1268
353,28,7,0.9832,8.7021,48.9245
354,37,9,0.9832,8.8548,60.6134
355,40,11,0.9831,9.0545,57.3054
356,30,8,0.9831,5.8336,57.3963
357,36,9,0.9830,9.3278,59.0574
358,99,16,0.9830,6.5209,60.3593
359,51,8,0.9829,6.8432,61.3175
360,32,8,0.9829,8.9490,57.5320
361,29,7,0.9829,6.9894,56.9634
362,43,12,0.9828,8.3118,59.3091
363,121,20,0.9828,8.5213,63.2242
364,122,16,0.9827,7.5665,63.5857
365,43,12,0.9827,7.4077,65.2094
366,84,13,0.9826,7.5696,58.7760
367,56,12,0.9826,8.4276,56.1883
368,35,8,0.9825,6.3833,57.9745
369,29,6,0.9825,7.7014,59.5020
370,53,11,0.9824,8.1687,58.0799
371,26,7,0.9824,10.5231,55.2086
372,40,10,0.9823,8.9831,61.0880
373,134,16,0.9823,7.1682,59.1517
374,36,10,0.9822,6.9357,55.9256
375,44,12,0.9822,6.4233,62.3030
376,41,10,0.9821,7.3008,59.0595
377,121,15,0.9821,7.7137,58.9658
378,80,14,0.9820,4.6192,62.4467
379,33,8,0.9820,7.2845,57.2076
380,78,13,0.9819,5.3280,58.8609
381,40,10,0.9819,8.1049,55.0713
382,79,12,0.9819,8.6784,58.2437
383,30,8,0.9818,7.3600,59.4027
384,52,11,0.9818,8.6660,59.1451
385,33,10,0.9817,5.9757,54.0593
386,40,10,0.9817,6.1186,56.7245
387,39,9,0.9816,7.7924,59.1536
388,53,11,0.9816,5.9694,52.6590
389,42,11,0.9815,6.0854,56.8046
390,43,9,0.9815,7.0117,54.9766
391,54,11,0.9814,6.8293,58.2855
392,63,13,0.9814,6.5302,58.4682
393,56,12,0.9813,6.4886,57.2723
394,43,11,0.9813,5.8930,63.3793
395,60,13,0.9812,8.2558,59.9190
396,39,11,0.9812,6.8546,58.7096
397,98,16,0.9811,6.0123,57.9802
398,84,17,0.9811,8.7021,68.0256
399,32,8,0.9810,9.8171,71.8941
400,39,9,0.9810,8.1154,66.2416
401,41,10,0.9810,13.1611,63.9489
402,56,14,0.9809,7.8506,59.5008
403,58,12,0.9809,9.2296,68.2201
404,245,22,0.9808,8.8014,64.7337
405,49,10,0.9808,9.3961,62.6906
406,87,13,0.9807,5.6934,72.0440
407,26,6,0.9807,8.2879,62.8821
408,114,15,0.9806,7.9610,72.1918
409,34,7,0.9806,6.9048,67.0271
410,201,24,0.9805,7.0562,69.2937
411,51,11,0.9805,5.2302,65.6417
412,72,15,0.9804,7.8253,69.2467
413,69,13,0.9804,5.5152,65.2478
414,52,9,0.9803,6.6736,67.6754
415,41,10,0.9803,8.5278,68.2575
416,38,11,0.9802,9.1085,68.7479
417,308,26,0.9802,7.3543,71.2031
418,60,15,0.9801,7.8379,65.9009
419,45,12,0.9801,6.8794,63.3541
420,39,11,0.9800,7.1459,60.2591
421,272,24,0.9800,7.4094,68.4622
422,37,9,0.9800,7.2509,64.4462
423,31,9,0.9799,6.0826,61.4866
424,58,11,0.9799,7.2399,66.9544
425,39,10,0.9798,6.5606,63.2258
426,47,9,0.9798,5.5937,67.5861
427,51,9,0.9797,7.8404,66.2411
428,40,10,0.9797,8.9405,65.8582
429,168,16,0.9796,7.1501,67.0361
430,46,12,0.9796,7.8744,70.6844
431,55,11,0.9795,7.8083,69.5076
432,35,9,0.9795,6.4394,59.6474
433,54,11,0.9794,7.4731,69.3354
434,33,8,0.9794,7.1610,61.2001
435,55,11,0.9793,7.3949,65.1133
436,118,17,0.9793,6.7752,65.9969
437,36,8,0.9792,7.0532,64.5574
438,43,12,0.9792,6.5286,68.0376
439,34,7,0.9791,10.3344,68.1444
440,71,11,0.9791,11.4930,78.2371
441,42,10,0.9791,7.5199,70.9507
442,120,16,0.9790,10.1689,77.5515
443,32,7,0.9790,8.6733,74.5514
444,83,14,0.9789,7.3824,75.2406
445,37,9,0.9789,8.3614,75.4175
446,29,8,0.9788,8.2691,71.3163
447,70,15,0.9788,7.6963,71.3598
448,54,10,0.9787,6.8154,71.5212
449,29,7,0.9787,9.5872,72.1907
450,84,14,0.9786,6.6985,77.0462
451,143,12,0.9786,8.1378,72.8528
452,36,9,0.9785,7.1137,71.8821
453,44,11,0.9785,6.2394,75.4439
454,86,12,0.9784,7.8355,78.1274
455,172,23,0.9784,7.2752,79.5935
456,80,14,0.9783,7.7964,72.3800
457,40,9,0.9783,9.3984,76.2156
458,35,10,0.9782,7.3741,67.1774
459,81,14,0.9782,9.6605,72.5705
460,26,6,0.9781,7.8954,71.7128
461,35,7,0.9781,7.5610,77.1294
462,45,13,0.9781,6.6342,79.5972
463,117,16,0.9780,8.9786,81.0509
464,86,15,0.9780,7.9115,71.6062
465,40,10,0.9779,8.3956,71.2613
466,55,10,0.9779,5.6544,71.0363
467,60,13,0.9778,8.4212,75.5926
468,69,14,0.9778,7.0937,71.9764
469,64,13,0.9777,7.0487,77.4031
470,27,6,0.9777,9.4735,70.7862
471,75,13,0.9776,9.4071,77.9234
472,57,13,0.9776,9.0969,72.8405
473,39,11,0.9775,7.6060,73.4974
474,41,10,0.9775,6.6223,74.4756
475,57,11,0.9774,6.2307,76.6103
476,33,9,0.9774,5.5917,67.5737
477,30,8,0.9773,9.4678,71.5956
478,55,11,0.9773,7.8351,72.7192
479,83,13,0.9772,11.4918,76.8354
480,34,8,0.9772,6.5182,73.0196
481,36,9,0.9772,9.3975,69.7363
482,104,17,0.9771,7.1627,76.6241
483,41,10,0.9771,8.4960,79.2032
484,26,7,0.9770,9.8437,79.9064
485,70,13,0.9770,8.8647,82.4244
486,50,9,0.9769,7.4068,86.3403
487,50,10,0.9769,8.2735,82.4697
488,28,8,0.9768,8.9881,79.3024
489,56,13,0.9768,7.5546,78.6236
490,108,14,0.9767,7.6697,87.8022
491,40,10,0.9767,8.2523,79.7363
492,74,9,0.9766,10.5308,81.2295
493,47,13,0.9766,9.4194,78.9598
494,38,10,0.9765,10.2410,76.4061
495,80,16,0.9765,8.3928,81.5077
496,40,11,0.9764,9.1948,79.2535
497,39,10,0.9764,7.5091,80.4116
498,31,8,0.9763,12.6222,76.8030
499,69,11,0.9763,6.8819,83.9445
500,101,15,0.9762,8.6151,84.5368
501,56,13,0.9762,9.1169,81.0177
502,32,8,0.9762,7.8417,78.8304
503,35,10,0.9761,9.9153,82.1042
504,59,12,0.9761,7.5632,82.8530
505,29,7,0.9760,8.9750,83.7487
506,49,10,0.9760,8.2598,88.0140
507,53,10,0.9759,5.3492,85.6380
508,58,12,0.9759,9.8812,76.5443
509,24,7,0.9758,4.6985,75.0373
510,27,7,0.9758,7.7838,82.1155
511,77,14,0.9757,8.8446,79.7341
512,86,15,0.9757,5.2231,75.7880
513,43,10,0.9756,8.1675,82.7357
514,53,10,0.9756,8.0643,78.3858
515,41,10,0.9755,9.3026,79.9606
516,57,11,0.9755,9.6707,86.0706
517,46,11,0.9754,9.5298,82.8330
518,57,12,0.9754,7.5579,79.5804
519,35,8,0.9753,7.8944,73.8796
520,55,12,0.9753,10.3412,83.0384
521,63,12,0.9753,8.0521,81.1648
522,61,12,0.9752,7.4362,79.9799
523,33,8,0.9752,6.9904,73.9104
524,37,11,0.9751,7.0784,75.7474
525,41,10,0.9751,9.5626,80.1446
526,58,11,0.9750,6.3707,87.6984
527,45,10,0.9750,5.8905,93.1022
528,33,8,0.9749,7.9906,77.3836
529,40,10,0.9749,7.8707,80.8619
530,38,8,0.9748,12.8341,81.1648
531,141,16,0.9748,11.6247,97.1780
532,127,18,0.9747,9.0623,94.3768
533,47,9,0.9747,9.9722,87.8151
534,35,8,0.9746,8.1557,91.6875
535,135,18,0.9746,6.8360,90.9477
536,59,12,0.9745,10.5213,90.1772
537,38,11,0.9745,8.5850,86.9467
538,61,12,0.9744,10.0840,84.2261
539,218,16,0.9744,9.7983,92.0786
540,69,10,0.9744,6.7199,87.6079
541,28,8,0.9743,12.0522,82.5549
542,36,10,0.9743,9.9802,85.9139
543,34,8,0.9742,7.9962,94.9556
544,165,16,0.9742,8.6045,100.9508
545,31,8,0.9741,7.0388,80.2577
546,34,8,0.9741,12.3259,86.8321
547,187,21,0.9740,10.2137,85.7830
548,127,16,0.9740,8.6476,93.8056
549,39,10,0.9739,10.9831,91.3020
550,123,17,0.9739,8.4214,91.1324
551,70,10,0.9738,8.8461,93.6919
552,47,9,0.9738,10.4693,90.7307
553,58,13,0.9737,7.9693,86.8276
554,33,9,0.9737,10.7835,84.5710
555,59,12,0.9736,6.7185,90.7227
556,88,15,0.9736,9.2280,95.3369
557,62,15,0.9735,7.7126,95.2850
558,40,11,0.9735,8.8562,87.6351
559,27,5,0.9734,6.4751,86.1713
560,37,8,0.9734,8.0760,82.1236
561,156,18,0.9734,8.7749,85.7731
562,32,8,0.9733,7.5137,89.2140
563,58,14,0.9733,9.7549,94.6620
564,63,12,0.9732,7.8430,96.2874
565,41,10,0.9732,9.6208,87.9040
566,40,9,0.9731,9.6166,96.3174
567,57,11,0.9731,7.3977,88.7423
568,115,16,0.9730,7.6651,92.7939
569,189,19,0.9730,9.7948,94.1510
570,60,11,0.9729,9.6680,94.3672
571,54,11,0.9729,9.7713,89.9685
572,57,13,0.9728,12.0568,96.6904
573,33,9,0.9728,8.2027,91.3347
574,54,12,0.9727,11.4076,92.4676
575,55,11,0.9727,7.0117,99.5309
576,54,10,0.9726,12.1689,102.9885
577,57,11,0.9726,10.6208,106.5010
578,34,11,0.9725,9.4277,94.4554
579,60,14,0.9725,10.6997,92.8839
580,42,11,0.9725,11.7606,100.8865
581,32,9,0.9724,8.2322,93.4673
582,38,9,0.9724,8.7343,96.0172
583,33,8,0.9723,7.2523,95.4712
584,45,12,0.9723,11.1164,99.5148
585,50,8,0.9722,8.7390,95.7231
586,55,13,0.9722,11.0146,99.9994
587,37,9,0.9721,9.3295,98.4915
588,51,11,0.9721,11.9122,98.9857
589,34,9,0.9720,16.7006,88.3792
590,45,11,0.9720,10.0327,101.4857
591,34,8,0.9719,11.4836,95.4261
592,51,10,0.9719,7.5207,97.8605
593,40,10,0.9718,11.4385,92.9482
594,38,10,0.9718,9.3499,100.1354
595,69,12,0.9717,8.7664,94.6881
596,121,17,0.9717,12.1353,103.5312
597,58,13,0.9716,10.8629,98.0041
598,182,22,0.9716,8.1400,100.9237
599,35,9,0.9715,9.4673,95.5360
600,33,10,0.9715,11.2055,91.3898
601,52,12,0.9715,12.3544,101.8627
602,32,10,0.9714,5.8820,96.7953
603,32,9,0.9714,8.9543,90.8225
604,56,10,0.9713,7.8433,99.5414
605,28,6,0.9713,10.9269,94.9678
606,42,11,0.9712,9.7918,101.1799
607,35,10,0.9712,8.5309,95.1569
608,77,16,0.9711,8.2723,108.8432
609,55,12,0.9711,7.6537,97.7126
610,61,15,0.9710,10.5579,102.2401
611,38,10,0.9710,11.5505,91.6876
612,42,11,0.9709,10.1860,93.2442
613,39,10,0.9709,9.1764,96.5849
614,81,13,0.9708,9.3667,99.1593
615,62,13,0.9708,12.0308,103.2331
616,26,7,0.9707,8.8686,90.7481
617,43,14,0.9707,12.2111,105.9280
618,127,16,0.9706,11.5499,116.1222
619,91,18,0.9706,11.6476,107.3986
620,42,11,0.9706,9.9833,108.9608
621,46,13,0.9705,11.0691,108.5592
622,37,10,0.9705,8.9706,97.8271
623,36,9,0.9704,8.3177,105.6411
624,99,13,0.9704,9.0854,104.9781
625,28,7,0.9703,7.9865,105.0640
626,58,13,0.9703,9.7388,108.2452
627,37,11,0.9702,7.9088,102.7319
628,37,9,0.9702,9.6118,103.2858
629,32,8,0.9701,5.8997,99.8290
630,29,8,0.9701,11.0171,105.2598
631,46,13,0.9700,10.9724,116.0039
632,56,12,0.9700,9.0025,108.0368
633,106,16,0.9699,10.1536,113.2070
634,44,10,0.9699,11.4847,108.8193
635,49,12,0.9698,8.4684,102.7815
636,257,27,0.9698,12.4251,106.1229
637,44,11,0.9697,10.9460,104.6321
638,55,11,0.9697,8.1493,105.5598
639,32,9,0.9696,8.8463,97.6359
640,36,8,0.9696,8.1369,108.7445
641,85,13,0.9696,8.5271,116.6903
642,41,12,0.9695,14.8995,111.5955
643,45,12,0.9695,9.1773,107.8534
644,49,11,0.9694,13.3599,104.8357
645,80,13,0.9694,10.7026,101.7984
646,24,5,0.9693,9.9575,105.8361
647,109,12,0.9693,8.3495,106.1211
648,52,10,0.9692,14.5928,110.2066
649,121,15,0.9692,11.8733,111.5969
650,38,10,0.9691,8.4701,104.2994
651,56,11,0.9691,8.1999,111.2854
652,136,17,0.9690,11.6467,110.9035
653,39,10,0.9690,10.3120,107.8808
654,35,10,0.9689,12.9705,102.7612
655,52,10,0.9689,9.6008,111.9065
656,35,8,0.9688,7.9922,105.9598
657,122,12,0.9688,7.2285,108.7845
658,35,9,0.9687,9.2437,104.3325
659,36,10,0.9687,10.9512,106.5576
660,43,11,0.9687,14.2494,110.6356
661,57,10,0.9686,11.3169,114.7069
662,61,14,0.9686,9.9909,107.5630
