episode,score,steps,epsilon,loss,avg_v
608,95,17,0.9639,9.6292,86.3374
609,40,11,0.9638,8.2293,79.6565
610,62,13,0.9638,7.7367,78.3504
611,134,20,0.9637,9.0948,89.0030
612,30,9,0.9637,7.7523,70.9423
613,32,10,0.9636,8.5495,76.7371
614,72,11,0.9635,6.5780,76.2942
615,36,8,0.9635,8.0047,81.5816
616,207,21,0.9634,5.7802,90.4311
617,35,10,0.9634,7.6670,67.2997
618,63,15,0.9633,7.3931,83.8394
619,37,10,0.9632,10.0018,75.4797
620,180,25,0.9632,8.9431,81.8196
621,32,8,0.9631,8.3271,74.6471
622,102,14,0.9631,5.3628,81.4245
623,47,8,0.9630,8.5376,80.4830
624,47,10,0.9629,9.9902,77.2890
625,83,16,0.9629,9.6081,80.2401
626,59,15,0.9628,7.4991,75.0865
627,44,11,0.9628,10.1293,74.8494
628,40,12,0.9627,7.6561,69.6979
629,76,13,0.9627,8.3883,74.4157
630,81,13,0.9626,9.5209,84.4315
631,75,16,0.9625,8.4515,84.9653
632,80,11,0.9625,9.7404,83.4036
633,303,24,0.9624,7.4836,101.3242
634,38,12,0.9624,8.8987,78.8350
635,34,9,0.9623,7.1293,80.4255
636,54,12,0.9622,6.6922,74.7157
637,37,9,0.9622,8.8671,87.4602
638,166,20,0.9621,6.9982,93.1871
639,64,14,0.9621,6.3744,89.3651
640,59,12,0.9620,8.8007,84.6116
641,61,11,0.9619,7.3397,87.6283
642,81,15,0.9619,9.7991,86.4926
643,39,11,0.9618,6.0564,79.1418
644,289,19,0.9618,7.8403,100.5515
645,54,12,0.9617,10.6006,87.3361
646,61,14,0.9616,7.9900,83.2492
647,53,10,0.9616,7.2301,121.2792
648,144,18,0.9615,8.7152,101.3715
649,77,16,0.9615,8.3521,79.3961
650,58,15,0.9614,7.3988,84.3057
651,51,11,0.9613,7.3619,75.4517
652,19,5,0.9613,7.7079,78.0123
653,39,9,0.9612,9.7779,92.0851
654,34,9,0.9612,9.9804,81.2676
655,41,10,0.9611,9.0251,87.2640
656,94,16,0.9610,6.8131,93.0671
657,33,9,0.9610,9.5595,79.6862
658,20,5,0.9609,6.7479,78.6575
659,154,19,0.9609,7.1990,93.5240
660,40,10,0.9608,6.5141,86.5597
661,36,9,0.9608,9.9586,83.7937
662,29,7,0.9607,10.1814,82.6328
