episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
238,30,8,0.9866,0.00004967,4.2832,30.4154,0.0000
239,38,10,0.9866,0.00004966,4.7165,29.5145,0.0000
240,43,11,0.9865,0.00004966,4.0935,32.0460,0.0000
241,31,8,0.9864,0.00004966,6.4564,31.9626,0.0000
242,49,10,0.9864,0.00004966,5.1470,31.4091,0.0000
243,56,12,0.9863,0.00004966,5.3298,31.2013,0.0000
244,60,12,0.9863,0.00004966,4.5019,33.8802,0.0000
245,60,13,0.9862,0.00004966,6.4074,31.9955,0.0000
246,39,10,0.9862,0.00004965,6.1478,30.5219,0.0000
247,31,8,0.9861,0.00004965,3.8913,30.5522,0.0000
248,40,11,0.9860,0.00004965,3.9535,32.0491,0.0000
249,57,11,0.9860,0.00004965,4.9584,34.6986,0.0000
250,37,9,0.9859,0.00004965,5.0801,29.9736,0.0000
251,40,9,0.9859,0.00004965,4.9988,31.5507,0.0000
252,343,31,0.9858,0.00004965,4.7167,45.9133,0.0000
253,42,10,0.9858,0.00004964,6.0737,33.5569,0.0000
254,123,16,0.9857,0.00004964,5.9181,36.8720,0.0000
255,54,11,0.9857,0.00004964,5.2416,33.2483,0.0000
256,111,19,0.9856,0.00004964,5.5235,34.3772,0.0000
257,214,17,0.9855,0.00004964,4.2628,45.3267,0.0000
258,41,11,0.9855,0.00004964,5.8412,34.7586,0.0000
259,212,19,0.9854,0.00004964,6.2164,40.7100,0.0000
260,41,10,0.9854,0.00004963,4.7913,35.8171,0.0000
261,108,15,0.9853,0.00004963,6.0579,38.2264,0.0000
262,56,12,0.9853,0.00004963,4.7529,34.3837,0.0000
263,49,10,0.9852,0.00004963,6.5796,37.4377,0.0000
264,39,11,0.9851,0.00004963,4.8957,32.8998,0.0000
265,31,7,0.9851,0.00004963,6.2769,35.1137,0.0000
266,38,8,0.9850,0.00004963,5.2380,35.7080,0.0000
267,46,11,0.9850,0.00004962,6.6950,35.2634,0.0000
268,65,10,0.9849,0.00004962,4.8438,41.3373,0.0000
269,38,10,0.9849,0.00004962,5.5370,34.2957,0.0000
270,91,16,0.9848,0.00004962,5.9309,45.4755,0.0000
271,39,11,0.9848,0.00004962,4.1164,34.9289,0.0000
272,35,9,0.9847,0.00004962,5.6192,33.6023,0.0000
273,33,8,0.9846,0.00004962,4.2063,35.9233,0.0000
274,55,10,0.9846,0.00004961,6.5340,37.5825,0.0000
275,100,15,0.9845,0.00004961,6.1737,41.6579,0.0000
276,41,9,0.9845,0.00004961,3.8955,35.1575,0.0000
277,36,9,0.9844,0.00004961,4.4673,34.0091,0.0000
278,59,11,0.9844,0.00004961,6.1966,38.6504,0.0000
279,72,11,0.9843,0.00004961,2.8932,39.4700,0.0000
