episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
346,33,7,0.9481,0.00004870,5.6578,41.3266,0.0000
347,27,8,0.9479,0.00004870,6.0590,37.8757,0.0000
348,25,6,0.9478,0.00004870,4.7005,42.9250,0.0000
349,127,16,0.9476,0.00004869,6.3642,51.6481,0.0000
350,36,9,0.9475,0.00004869,5.5293,45.7067,0.0000
351,513,28,0.9474,0.00004868,4.8464,57.7151,0.0000
352,37,8,0.9472,0.00004868,6.8809,47.7006,0.0000
353,82,12,0.9470,0.00004868,5.8303,48.7786,0.0000
354,57,12,0.9469,0.00004867,4.2178,43.8258,0.0000
355,42,11,0.9467,0.00004867,5.3934,43.3103,0.0000
356,133,17,0.9466,0.00004867,6.3559,46.0583,0.0000
357,37,9,0.9465,0.00004866,4.4700,44.9506,0.0000
358,80,12,0.9463,0.00004866,6.8370,47.4419,0.0000
359,41,10,0.9462,0.00004865,5.7597,43.9701,0.0000
360,115,17,0.9460,0.00004865,5.3112,46.2960,0.0000
361,123,14,0.9458,0.00004865,6.3825,50.4687,0.0000
362,131,17,0.9457,0.00004864,4.5232,48.5768,0.0000
363,70,11,0.9456,0.00004864,7.3530,48.0432,0.0000
364,88,16,0.9454,0.00004864,5.2767,44.1749,0.0000
365,30,8,0.9453,0.00004863,6.5985,43.7486,0.0000
366,32,8,0.9451,0.00004863,6.5663,45.4270,0.0000
367,34,8,0.9449,0.00004862,4.5607,44.2144,0.0000
368,87,14,0.9448,0.00004862,5.8213,47.1201,0.0000
369,27,8,0.9446,0.00004862,6.9210,45.6032,0.0000
370,54,13,0.9445,0.00004861,4.5104,42.7864,0.0000
371,295,20,0.9444,0.00004861,6.4266,55.5052,0.0000
372,101,14,0.9442,0.00004860,6.5079,53.1083,0.0000
373,36,10,0.9441,0.00004860,5.4156,45.5718,0.0000
374,42,11,0.9439,0.00004860,8.0230,44.1255,0.0000
375,21,5,0.9437,0.00004859,6.2806,46.1361,0.0000
376,87,15,0.9436,0.00004859,6.8776,43.8922,0.0000
377,33,8,0.9435,0.00004859,6.5734,45.4096,0.0000
378,44,11,0.9433,0.00004858,5.1893,44.9299,0.0000
379,227,21,0.9432,0.00004858,5.2870,52.6526,0.0000
380,118,14,0.9430,0.00004858,5.9954,53.5200,0.0000
381,45,10,0.9428,0.00004857,7.2833,45.7771,0.0000
