rollout,total_steps,avg_score,avg_steps,policy_loss,value_loss,entropy
271,555008,82.69,13.17,-0.0011,4862.7305,0.0897
272,557056,87.39,13.42,0.0021,6048.4512,0.0972
273,559104,78.88,13.20,-0.0044,4789.7766,0.0962
274,561152,77.40,12.74,0.0033,4043.3024,0.1110
275,563200,85.48,13.16,0.0111,6197.9939,0.0884
276,565248,75.72,12.73,0.0031,4616.9011,0.1023
277,567296,72.91,12.60,0.0018,5246.3883,0.0796
278,569344,89.66,13.54,-0.0018,6105.9830,0.0685
279,571392,87.21,13.45,0.0012,5499.9655,0.0801
280,573440,79.91,12.63,0.0034,4442.7138,0.0817
281,575488,73.04,12.50,0.0084,4244.5622,0.0967
282,577536,87.23,13.21,0.0087,5077.1382,0.1006
283,579584,84.86,13.57,0.0063,4068.0396,0.0885
284,581632,92.51,13.65,0.0003,6228.8163,0.0721
285,583680,81.89,13.20,-0.0036,5148.3386,0.0714
286,585728,83.77,13.13,0.0047,5825.5057,0.0600
287,587776,92.14,13.99,-0.0011,5270.2709,0.0679
288,589824,77.83,12.65,0.0004,5530.5726,0.0610
289,591872,86.94,13.47,-0.0001,6156.1768,0.0621
290,593920,86.57,13.42,0.0006,6136.8498,0.0726
291,595968,82.15,12.96,-0.0010,6567.4643,0.0696
292,598016,87.75,13.33,0.0020,5598.4994,0.0786
293,600064,79.17,12.94,0.0077,3809.7767,0.0881
294,602112,87.96,13.68,-0.0011,4611.0445,0.0939
295,604160,87.66,13.10,-0.0031,6139.1052,0.0837
296,606208,84.11,13.29,0.0007,4555.0836,0.0869
297,608256,85.23,13.27,0.0040,5876.6118,0.0669
298,610304,89.71,13.52,-0.0009,5641.6127,0.0653
299,612352,77.68,12.95,-0.0008,4964.9213,0.0696
300,614400,90.28,13.42,0.0034,6045.5486,0.0723
301,616448,80.34,12.87,-0.0009,5338.1644,0.0820
302,618496,91.42,13.78,0.0022,5872.0654,0.0830
303,620544,104.74,14.34,-0.0001,5836.3281,0.0684
304,622592,69.71,12.23,0.0009,5951.2393,0.0746
305,624640,83.26,13.26,-0.0012,3716.7260,0.0836
306,626688,80.58,13.10,-0.0015,4735.8544,0.1114
307,628736,82.07,13.00,0.0026,4402.4742,0.0958
308,630784,77.44,13.07,0.0031,5165.1161,0.0969
309,632832,83.86,12.77,-0.0032,5223.1613,0.1048
310,634880,92.76,13.39,0.0024,5688.1912,0.0808
311,636928,82.46,13.04,-0.0008,7882.7085,0.0773
312,638976,85.03,13.28,0.0002,5989.9501,0.0708
313,641024,89.05,13.82,0.0008,5477.3952,0.0816
314,643072,81.83,13.12,0.0025,6703.7651,0.0838
315,645120,85.68,13.12,-0.0020,6120.7826,0.0983
316,647168,68.84,12.40,0.0015,4779.2986,0.1223
317,649216,92.83,13.85,0.0023,6472.4594,0.1039
318,651264,87.53,13.37,0.0019,5909.4923,0.0896
319,653312,88.20,13.68,0.0013,5201.5629,0.1042
320,655360,84.07,13.09,-0.0003,6297.8692,0.0900
321,657408,87.59,13.90,0.0091,5597.3502,0.1111
322,659456,81.73,12.97,-0.0019,5022.0956,0.1043
323,661504,96.40,13.80,0.0049,5491.6138,0.0948
324,663552,82.13,12.96,0.0054,6254.8309,0.1012
325,665600,93.17,13.53,0.0009,5960.2133,0.0919
326,667648,82.78,13.25,0.0014,5441.0455,0.0794
327,669696,96.65,13.94,0.0032,6413.3805,0.0766
328,671744,72.69,12.74,-0.0002,4722.1911,0.0853
329,673792,95.19,13.91,0.0040,5746.7832,0.0777
330,675840,81.55,12.90,0.0026,6110.1501,0.0903
331,677888,87.91,13.36,0.0041,6558.9760,0.0855
332,679936,82.27,13.24,0.0030,5277.3526,0.0844
333,681984,93.49,13.63,-0.0006,6574.9876,0.0913
334,684032,87.16,13.73,0.0032,5937.6095,0.0910
335,686080,84.76,13.47,0.0021,4708.3782,0.1192
336,688128,81.78,13.12,0.0057,5602.2673,0.1183
337,690176,96.05,13.68,0.0053,8666.6729,0.1095
338,692224,87.34,13.79,-0.0009,7247.7151,0.0919
339,694272,79.66,12.83,0.0004,5326.5724,0.1100
340,696320,82.27,13.43,-0.0021,5228.8499,0.1012
341,698368,84.40,13.03,-0.0007,6545.2274,0.0751
342,700416,90.33,13.62,0.0070,5842.6444,0.0846
343,702464,82.65,12.86,0.0027,7324.3997,0.0591
344,704512,81.08,12.91,0.0043,4932.5726,0.0743
345,706560,82.03,13.27,0.0102,4485.1040,0.0913
346,708608,86.23,13.43,0.0044,5330.3171,0.1203
347,710656,77.82,12.75,0.0039,4781.0945,0.1066
348,712704,77.49,12.80,0.0040,5158.5680,0.0724
349,714752,98.53,14.23,0.0010,6769.2999,0.0659
350,716800,100.67,14.08,-0.0037,7535.8879,0.0615
351,718848,85.35,13.54,0.0007,5990.9727,0.0728
352,720896,87.28,13.81,0.0068,5123.3331,0.0742
353,722944,79.78,12.87,-0.0003,5513.0010,0.0740
354,724992,89.70,13.77,0.0065,5678.2101,0.0534
355,727040,82.14,13.25,0.0011,5167.3049,0.0592
356,729088,83.62,13.17,0.0009,4913.8007,0.0682
357,731136,76.56,13.04,0.0063,4814.7295,0.0736
358,733184,84.36,13.02,0.0022,6360.5081,0.0639
359,735232,83.74,13.37,0.0042,4558.5525,0.0680
360,737280,89.19,13.55,-0.0005,6736.3557,0.0693
361,739328,91.28,13.90,-0.0008,5888.3343,0.0624
362,741376,83.16,13.19,-0.0004,5060.0397,0.0624
